Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
Emergency Management WG3,Working Group,,,,,,,,,
Central Bank of Austria,Company,,,,,,,,,
Access IS,Company,,,,,,,,,
Profiling,Publication,,"D7.2: Descriptive analysis and inventory of profiling practices
D7.3: Report on Actual and Possible Profiling Techniques in the Field of Ambient Intelligence
D7.4: Implications of profiling practices on democracy
D7.6 Workshop on AmI, Profiling and RFID
D7.7: RFID, Profiling, and AmI
D7.8: Workshop on Ambient Law
D7.9: A Vision of Ambient Law
D7.10: Multidisciplinary literature selection, with Wiki discussion forum on Profiling, AmI, RFID, Biometrics and Identity
D7.11: Kick-off Workshop on biometric behavioural profiling and Transparency Enhancing Technologies
D7.12: Behavioural Biometric Profiling and Transparency Enhancing Tools
D7.13: Where Idem Meets Ipse. Workshop Report
D7.14a: Where Idem-Identity meets Ipse-Identity. Conceptual Explorations
D7.14b: Idem-Identity and Ipse-Identity in Profiling Practices
D7.15: Kick off Workshop on Profiling in Financial Institutions
D 7.16: Profiling in Financial Institutions",,,,,,http://www.fidis.net/resources/fidis-deliverables/profiling/,
MAPRG Measurement and Analysis for Protocols Research Group,Research Project,,"Our Internet has grown into something that differs from what was envisioned. Its protocols sometimes operate in an environment other than than that for which they were designed. For instance, some network elements treat some protocols differently than others and those protocols themselves are sometimes reused and abused in ways initially unforeseen. The Measurement and Analysis for Protocols Research Group (MAP) Research Group (RG) explores such phenomena by measurement with the aim to inform protocol engineering and practice.

Many protocol engineering efforts in a standards development context, as well as best practices for the operation of IETF-defined protocols, can benefit from insight provided by Internet measurements of various kinds. Likewise, Internet measurement research efforts can stand to gain from contacts with the IETF. The Measurement and Analysis for Protocols Research Group Research Group (MAPRG) aims to provide a forum for interchange between these two communities, supporting:
* exchange of measurement-derived insight;
* discussion of techniques and best practices for measurement relevant to protocol engineering and network operations;
* collaborations to share data supporting these measurements; and
* a “landing pad” for the Internet measurement community to introduce its efforts to the IETF.",,,,,2016-08-22,https://irtf.org/maprg,
International Identity Law and Policy Workshop,Event,,"Attendees were lawyers, business leaders, policy experts, and technologists representing a broad spectrum of public sector, private sector, and NGO leaders in identity. Participants also included experts involved in drafting the recently-enacted identity legislation in the EU and Virginia, and experts currently involved in planned and proposed upcoming legislative initiatives relating to identity management in both the U.S. and internationally.
The impetus for the meeting was several recent developments relating to identity management legislation. They included the following recently adopted identity management legislation:
• The European Union eIDAS Regulation adopted in 2014, and
• The Virginia Electronic Identity Management Act adopted in 2015;
and the following planned or proposed projects to develop new identity management legislation:
• The United Nations Commission on International Trade Law (International) project to develop international rules providing “a basic legal framework covering identity management transactions;”
• The Uniform Law Commission (United States) proposal to develop uniform identity management legislation for the 50 U.S. states; and
• The Virginia Identity Management Standards Advisory Council (Virginia) project to advise the Virginia Secretary of Technology on the identity management standards to be adopted as regulations in Virginia under its new Identity Management Act.

The goal of the meeting was to discuss the direction that such new identity management legislation should take, the issues it should address, and desired approaches.
A key theme reiterated throughout the event was the importance of focusing on outcome-based legislation. Participants voiced concern that legislation prescribing a specific technical process to implement identity standards would hinder innovation and ultimately prevent the success of a new legal regime.
This Report summarizes at a high-level the robust, thought-provoking and productive discussion in which the participants engaged.",,,,,,http://openidentityexchange.org/2016/01/international-identity-law-policy-workshop/,
ELSA,Research Project,,,,,,,,,
NMRG Network Management Research Group,Research Project,,"The Network Management Research Group (NMRG) provides a forum for researchers to explore new technologies for the management of the Internet. In particular, the NMRG will work on solutions for problems that are not yet considered well understood enough for engineering work within the IETF.

The initial focus of the NMRG will be on higher-layer management services that interface with the current Internet management framework. This includes communication services between management systems, which may belong to different management domains, as well as customer-oriented management services. The NMRG is expected to identify and document requirements, to survey possible approaches, to provide specifications for proposed solutions, and to prove concepts with prototype implementations that can be tested in large-scale real-world environments.

The IETF Operations and Management Area Directors are members of the NMRG mailing list and invited to NMRG meetings in order to ensure free flow of information in both directions, and to avoid duplication of work with the various IETF working groups.

The group will report its progress through a publicly accessible web site and presentations at IETF meetings. Specifications developed by the NMRG will be submitted for publication as Experimental or Informational RFCs.",,,,,1999-09-14,https://irtf.org/nmrg,
Gershon Janssen,Person,,,,,,,,,
Future Trust,Research Project,Europe,"Against the background of the regulation 2014/910/EU on electronic identification (eID) and trusted services for electronic transactions in the internal market (eIDAS), the FutureTrust project, which is funded within the EU Framework Programme for Research and Innovation (Horizon 2020) under Grant Agreement No. 700542, aims at supporting the practical implementation of the regulation in Europe and beyond.

For this purpose the FutureTrust project will address the need for globally interoperable solutions through basic research with respect to the foundations of trust and trustworthiness, actively support the standardisation process in relevant areas, and provide Open Source software components and trustworthy services which will ease the use of eID and electronic signature technology in real world applications. In particular the FutureTrust project will extend the existing European Trust Service Status List (TSL) infrastructure towards a “Global Trust List”, develop a comprehensive Open Source Validation Service as well as a scalable Preservation Service for electronic signatures and seals and will provide components for the eID-based application for qualified certificates across borders, and for the trustworthy creation of remote signatures and seals in a mobile environment. The present contribution provides an overview of the FutureTrust project and invites further stakeholders to actively participate as associated partners and contribute to the development of future trust services for trustworthy global transactions.",,,,,,https://www.futuretrust.eu/home/,
ABC4Trust,Project Pilot/Proof of Concept,Europe|over,"The goal of ABC4Trust is to address the federation and interchangeability of technologies that support trustworthy yet privacy-preserving Attribute-based Credentials (ABC). So far, credentials such as digitally signed pieces of personal information or other information used to authenticate or identify a user were not designed to respect the users privacy. They inevitably reveal the identity of the holder even though the application at hand often needs much less information, for instance only the confirmation that the holder is a teenager or is eligible for social benefits. In contrast to that, Attribute-based Credentials allow a holder to reveal just the minimal information required by the application, without giving away full identity information. These credentials thus facilitate the implementation of a trustworthy and at the same time privacy-protecting digital society.

The objectives of ABC4Trust are:
* Defining a common, unified architecture for ABC systems to allow comparing their respective features and combining them on common platforms
* Delivering open reference implementations of selected ABC systems and deploy them in actual production pilots allowing provably accredited members of restricted communities to provide anonymous feedback on their community or its members.",,,,,,https://abc4trust.eu,
NIFs Implementation and Monitoring State of Play 2015,Publication,,,,,,,,http://ec.europa.eu/isa/documents/publications/2015-report-on-state-of-play-of-interoperability.pdf,
Do Not Track: A Universal Third-Party Web Tracking Opt Out,Specification,dead,"This document defines the syntax and semantics of Do Not Track, an HTTP header-based mechanism that enables users to express preferences about third-party web tracking. It also provides a standard for how web services should comply with such user preferences.",,,,,,https://datatracker.ietf.org/doc/draft-mayer-do-not-track/,
Identification cards – Contactless integrated circuit(s) cards  (10536),Specification,,,,,,,,,
mef trust working group,Working Group,,,,,,,,,
eInvoicing,Service,,"eInvoicing represents a clear example of how digital innovation can provide efficiencies and cost-cutting measures of tangible benefit to public administrations, citizens and businesses throughout Europe. Since 2001, European legislation has given electronic invoices legal equivalence with their paper counterparts.",,,,,,https://ec.europa.eu/cefdigital/wiki/display/CEFDIGITAL/eInvoicing,
Financial API Working Group,Working Group,,"In many cases, Fintech services such as aggregation services uses screen scraping and stores user passwords. This model is both brittle and insecure. To cope with the brittleness, it should utilize an API model with structured data and to cope with insecurity, it should utilize a token model such as OAuth [RFC6749, RFC6750].

This working group aims to rectify the situation by developing a REST/JSON model protected by OAuth. Specifically, the FAPI WG aims to provide JSON data schemas, security and privacy recommendations and protocols to:
* enable applications to utilize the data stored in the financial account,
* enable applications to interact with the financial account, and
* enable users to control the security and privacy settings.

Both commercial and investment banking account as well as insurance, and credit card accounts are to be considered.",,,,,,http://openid.net/wg/fapi/,
Annual Privacy Forum,Event,,"The event encourages dialog with panel discussions and provides room for exchange of ideas in between scientific sessions. Participate to the discussions during APF days, but also by being involved online on our community channels!",,,,,,http://privacyforum.eu,
IEEE Future Directions Committee,Working Group,,"The IEEE Future Directions Committee (FDC), in association with Societies, Councils, and OUs, anticipates and determines the direction of existing, new, and emerging technologies and related issues, and spearheads their investigation and development by IEEE. Taking a holistic view, the FDC emphasizes new, emerging technical areas and drives them to maturity within the IEEE infrastructure. Additionally, the FDC serves as a liaison to and fosters cooperative efforts among Societies, Councils, and industry to develop new products and services in emerging topics.
 
The primary working objective of the IEEE Future Directions Committee:
* incubates emerging technologies and new applications of current technologies;
* identifies opportunities to engage the engineering community and the general public;
* works with IEEE members and staff to focus on emerging technologies through technical, professional, and educational activities;
* serves as a catalyst for new conferences, publications, standards, educational products, forums, white papers, grants, and projects to support new technologies.",,,,,,http://www.ieee.org/about/technologies/index.html,
Digital Signature Services eXtended (DSS-X) TC,Working Group,,,,,,,,,
Issuer Identification Numbers (IINs) / Application Provider Identifiers (RIDs)  WG5,Working Group,,"To serve as the RMG for ISO/IEC 7812 Parts 1 & 2 and ISO/IEC 7816-5. Responsibility for maintenance of ISO/IEC 7812 Parts 1 & 2. Responsible for Registration of Application providers under ISO/IEC 7816-5. To liaise, when necessary with Working Group 4 on matters relating to ISO/IEC 7816-5.",,,,,,,
"ATIS   The Alliance for Telecommunications Industry Solutions, USA",Organization / Trade Association,,,,,,,,http://www.atis.org,
Internet Research Task Force IRTF,Working Group,,"Distributing and manipulating named information is a major application in the Internet today. In addition to web-based content distribution, other distribution technologies (such as P2P and CDN) have emerged and are promoting a communication model of accessing data by name, regardless of origin server location.

In order to respond to increasing traffic volume in the current Internet for applications such as mobile video and cloud computing, a set of disparate technologies and distribution services are employed that employ caching, replication and content distribution in different specific ways. These approaches are currently deployed in separate silos – different CDN providers and P2P applications rely on proprietary distribution technologies. It is not possible to uniquely and securely identify named information independently of the distribution channel; and the different distribution approaches are typically implemented as an overlay, leading to unnecessary inefficiency.

Information-centric networking (ICN) is an approach to evolve the Internet infrastructure to directly support this use by introducing uniquely named data as a core Internet principle. Data becomes independent from location, application, storage, and means of transportation, enabling in-network caching and replication. The expected benefits are improved efficiency, better scalability with respect to information/bandwidth demand and better robustness in challenging communication scenarios. These concepts are known under different terms, including but not limited to: Network of Information (NetInf), Named Data Networking (NDN) and Publish/Subscribe Networking.

ICN concepts can be applied to different layers of the protocol stack: name-based data access can be implemented on top of the existing IP infrastructure, e.g., by providing resource naming, ubiquitous caching and corresponding transport services, or it can be seen as a packet-level internetworking technology that would cause fundamental changes to Internet routing and forwarding. In summary, ICN is expected to evolve the Internet architecture at different layers.",,,,,2012-04-17,https://irtf.org,https://en.wikipedia.org/wiki/Internet_Research_Task_Force
IEEE Standards Organization,Organization / Trade Association,,"We are a leading consensus building organization that nurtures, develops & advances global technologies. Our work drives the functionality, capabilities and interoperability of a wide range of products and services that transform the way people live, work and communicate.",,,,,,http://standards.ieee.org,
DoNotTrack.Us,Specification,,,,,,,,,
Adam Cooper,Person,,A technical architect working on the identity assurance programme.,,,,,,https://identityassurance.blog.gov.uk/author/adam-cooper/,
Platform Identity Management Nederland (PIMN),Organization / Trade Association,,,,,,,,,
Economy & Society,Part of Supra-National Government,,,,,,,,,
Identity Management in Electronic Commerce,Working Group,,,,,,,,http://uniformlaws.org/Committee.aspx?title=Identity%20Management%20in%20Electronic%20Commerce,
Health Relationship Trust Profile for User Managed Access 1.0,Specification,,"The User Managed Access protocol defines a method for an end user to introduce a resource to an authorization server, define a set of policies governing access to that resource, and for a requesting party to provide claims to fulfill those policies in order to gain access to the resource.

This specification profiles the User Managed Access protocol to increase baseline security, provide greater interoperability, and structure deployments in a manner specifically applicable to (but not limited to) the healthcare domain.",,,,,,http://openid.bitbucket.org/HEART/openid-heart-uma.html,
Eurodocs,Company,,,,,,,,http://www.eurodocs.se,
Working Paper Privacy by Design and Smart Metering: Minimize Personal Information to Maintain Privacy,Publication,,"With the ongoing growth of the Smart Grid, the role of the utility is changing. Historically, energy providers focused on maintaining consistent supply at the lowest possible cost; interactions with cus- tomers largely involved billing and minimizing credit risk. However, with the current redesign of elec- trical systems, these interactions are being radically redesigned, as smart meters allow utilities to gain information about the usage patterns of their residential customers at a level of detail that was previously unavailable, and in near real-time. This change is allowing for the development of an ar- ray of new services and efficiencies for both the consumer and the utility.
To maintain consumer trust and confidence, the Smart Grid and smart metering will necessitate the emergence of a new relationship between utilities and individuals, centred on customer engagement. Privacy and data security will be the dual cornerstones of this relationship.",,,,,,https://datenschutz-berlin.de/attachments/842/675.43.18_WP_Privacy_and_Smart_Metering.pdf?1321458912,
SSEDIC - Scoping the Single European Digital Identity Community,Research Project,Europe|over,"SSEDIC (“Scoping the Single European Digital Identity Community”) has concluded intensive 3‐year consultation period together with over 200 European and international eID experts and many stakeholder organizations to establish recommendations that address key issues regarding the usability and interoperability of electronic identity management solutions. The resulting recommendations and associated roadmap shall support the European Commission to set priorities for the path towards a Single European Digital Identity Community and the Horizon 2020.
The key areas that need to be addressed as a priority are: Mobile Identity; Attribute Usage; Authentication; and Liability (see figure below). The Impact of the recommendation has been assessed for the areas of Public and Private Cooperation, eID governance, Standards, and Education.
[SEDDIC Memorandum](http://www.ssedic2020.eu/images/stories/pdf/presentation/SSEDIC%20Memorandum.pdf)",,,,,,http://www.eid-ssedic.eu,
US Citizenship and Immigration Services,Part of a Government,,,,,,,,,
Community Resilience WG5,Working Group,,,,,,,,,
STORK,Research Project,Europe,"The aim of the STORK project is to establish a European eID Interoperability Platform that will allow citizens to establish new e-relations across borders, just by presenting their national eID.

Cross-border user authentication for such e-relations will be applied and tested by the project by means of five pilot projects that will use existing government services in EU Member States. In time however, additional service providers will also become connected to the platform thereby increasing the number of cross-border services available to European users. 

Thus in the future, you should be able to start a company, get your tax refund, or obtain your university papers without physical presence; all you will need to access these services is to enter your personal data using your national eID, and the STORK platform will obtain the required guarantee (authentication) from your government.

User-centric Approach = Privacy Guarantee

The role of the STORK platform is to identify a user who is in a session with a service provider, and to send his data to this service. Whilst the service provider may request various data items, the user always controls the data to be sent. The explicit consent of the owner of the data, the user, is always required before his data can be sent to the service provider.

The platform will not store any personal data, so no data can be lost.

This user centric approach was not taken to satisfy some philosophical preferences, but in line with the legislative requirements of all the various countries involved that oblige concrete measures to be taken to guarantee that a citizen's fundamental rights, such as his privacy, are respected.",,,,,,https://www.eid-stork.eu,
Trust in Cyberspace,Publication,,"Whether or not you use a computer, you probably use a telephone, electric power, and a bank. Although you may not be aware of their presence, networked computer systems are increasingly becoming an integral part of your daily life. Yet, if such systems perform poorly or don't work at all, then they can put life, liberty, and property at tremendous risk. Is the trust that we--as individuals and as a society--are placing in networked computer systems justified? And if it isn't, what can we do to make such systems more trustworthy?",,,,,,,
IDTrust Member Section,Discussion Group,,"The OASIS Identity and Trusted Infrastructure (IDtrust) Member Section promotes greater understanding and adoption of standards-based identity and trusted infrastructure technologies, policies, and practices. The group provides a neutral setting where government agencies, companies, research institutes, and individuals work together to advance the use of trusted infrastructures, including the Public Key Infrastructure (PKI).

IDtrust was founded in 1999 as PKI Forum. It transitioned its work to the international standards consortium, OASIS, in 2002, where it continued to operate as an independent body focused on broadening adoption for PKI. In 2007, the group expanded its charter and was renamed the OASIS IDtrust Member Section.",,,,,,,
Internet Society ISOC,Organization / Trade Association,,,,,,,,http://www.isoc.org,
OpenID Connect Federation 1.0,Specification,,,,,,,,http://openid.net/specs/openid-connect-federation-1_0.html,
World Privacy Forum,Non Governmental Organization,,,,,,,,,
JSON Web Signature,Working Group,,JSON Web Signature (JWS) represents content secured with digital signatures or Message Authentication Codes (MACs) using JSON-based data structures.  Cryptographic algorithms and identifiers for use with this specification are described in the separate JSON Web Algorithms (JWA) specification and an IANA registry defined by that specification.  Related encryption capabilities are described in the separate JSON Web Encryption (JWE) specification.,,,,,,https://datatracker.ietf.org/doc/rfc7515/,
The ID Co.,Company,,"miiCard (My Internet Identity) is a global “Identity as a Service” solution that proves ‘you are who you say you are’, purely online, in minutes and to the same level as a physical passport or photo ID check. Through a patented process that leverages the trust between an individual and their financial institution, miiCard establishes identity to level of assurance 3+ and meets know your customer (KYC) and anti-money laundering (AML4) identity guidelines, enabling the sale of regulated products and services purely online.

Combining online identity proofing with strong authentication, miiCard provides the trust and security required for people and businesses to meet and transact with confidence in a purely digital environment. As a single, trusted digital ID founded on the principles of bring your own identity, miiCard is convenient and flexible providing members complete control over their online identity and personal information. With coverage across five continents and over 350 million people, miiCard is creating trust online across a range of industries including finance, commerce, trading, gaming, healthcare, recruitment, dating, social and professional networking.

See how miiCard’s online identity verification is used across a range of industries here.",,,,,,http://www.miicard.com/,
Understanding your Online Identity: An Overview of Identity,Publication,,This paper is intended to help explain the various diferent identities and profiles that represent you online.,,,,,,,
Harvard,University,,,,,,,,,
Working Paper on Big Data and Privacy Privacy principles under pressure in the age of Big Data analytics,Publication,,"BigData is a term which refers to the enormous increase in access to and automated use of information.2 It refers to the gigantic amounts of digital data controlled by companies, authorities and other large organisations which are subjected to extensive analysis based on the use of algorithms.

Big Data entails a challenge to key privacy principles. Some claim that it will be 
impossible to enforce these principles in an age characterised by Big Data.4 According to this view, the protection of privacy must primarily be safeguarded through enterprises providing clear and comprehensive information on how personal data is handled. The Working Group is of the opinion, however, that the protection of privacy is more important than ever at a time when increasing amounts of information are collected about individuals.5 The privacy principles constitute our guarantee that we will not be subjected to extensive profiling in an ever increasing array of new contexts. A watering down of key privacy principles, in combination with more extensive use of Big Data, may have adverse consequences for the protection of privacy and other important values in society such as freedom of expression and the conditions for exchange of ideas.

3. Some core principles have been stipulated by the OECD and in the European Data Protection Directive for how personal data may be processed in a reasonable, correct and legitimate manner.6 The following principles in particular are of relevance for Big Data: purpose limitation, relevance and data minimisation, completeness and quality, transparency and right of access to information.",,,,,,https://datenschutz-berlin.de/attachments/1052/WP_Big_Data_final_clean_675.48.12.pdf?1407931243,
University of Southampton,University,,,,,,,,,
Forge Rock,Company,,,,,,,,,
ANCI,Organization / Trade Association,,"ANSI promotes the use of U.S. standards internationally, advocates U.S. policy and technical positions in international and regional standards organizations, and encourages the adoption of international standards as national standards where they meet the needs of the user community.

The Institute is the sole U.S. representative and dues-paying member of the two major non-treaty international standards organizations, the International Organization for Standardization (ISO), and, via the U.S. National Committee (USNC), the International Electrotechnical Commission (IEC). As a founding member of the ISO, ANSI plays a strong leadership role in its governing body while U.S. participation, via the USNC, is equally strong in the IEC.",,,,,,https://www.ansi.org,
Doc 9303  Machine Readable Travel Documents,Publication,,,,,,,,http://www.icao.int/Security/mrtd/Pages/Document9303.aspx,
MEF,Organization / Trade Association,,"With over 200 leading member companies, including 130 service providers, The MEF is a California, USA registered 501 c (3) industry association that is the enabling force for the development and implementation of agile, assured and orchestrated Third Network services for the digital economy and the hyper-connected world. Third Network services are delivered over automated, virtualized, and interconnected networks globally powered by Carrier Ethernet 2.0 (CE 2.0), Lifecycle Service Orchestration (LSO), SDN, and NFV.

CE 2.0 is MEF’s globally adopted services framework and the foundation for new services innovation. The current annual market for Carrier Ethernet products and services is approximately $80B.

The MEF is also facilitating industry neutral implementation environments for service orchestration (OpenLSO) and L2-L7 connectivity services (OpenCS) based on Open Source, SDN and NFV, as well as current commercial PNF products.

MEF’s Certification Programs, established for over 10 years have led to certification of compliance with MEF standards by the majority of the industry’s leading companies within the MEF membership.

Beyond certification, MEF provides a broad range of marketing capabilities that provide MEF member companies of all sizes in all geographic locations with unique, powerful and very cost-effective customer-networking and profile-raising opportunities.

Key benefits of membership for hardware and software solution providers include:

Advance visibility into relevant industry technical standards developments
Ability to influence standards to align with corporate objectives
As a key contributor, achieve thought leadership in front of MEF’s 130+ SP members
Achieve corporate and individual visibility and recognition via participation in MEF Marketing activities (e.g. webinars and seminars)
Leverage the MEF global community of peer contacts 
Get your products certified
MEF members include Tier 1,2 and 3 service providers (approx.130), hardware and OSS/orchestration software providers, test labs and test equipment and test software providers. In 2016 and 2017, considerable growth from SDN and NFV technology providers is expected as our work increasingly leverages these technologies.",,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,Non Governmental Organization,,"The National Academies of Sciences, Engineering, and Medicine are private, nonprofit institutions that provide expert advice on some of the most pressing challenges facing the nation and the world. Our work helps shape sound policies, inform public opinion, and advance the pursuit of science, engineering, and medicine.",,,,,,,http://www.nap.edu/author/CSTB/division-on-engineering-and-physical-sciences/computer-science-and-telecommunications-board
2nd IEEE European Symposium on Security and Privacy,Event,,"Since 1980, the IEEE Symposium on Security and Privacy has been the premier forum for presenting developments in computer security and electronic privacy, and for bringing together researchers and practitioners in the field. Following this story of success, IEEE initiated the European Symposium on Security and Privacy (EuroS&P), which is organized every year in an European city.
The 2nd EuroS&P edition will be held on April 26-28, 2017 in Paris at UPMC Campus Jussieu, which is located right in the center of Paris, about 10 minutes walk from Notre Dame. April 26-28 is right before EUROCRYPT 2017, which will also happen in Paris (about 10 minutes walk away). The affiliated events will be organized jointly with EUROCRYPT on April 29-30, 2017, also at UPMC Campus Jussieu.",,,,,,http://www.ieee-security.org/TC/EuroSP2017/,
eGov Working Group,Working Group,,"The eGovernment Work Group (eGov WG) will be responsible for:
* Facilitating collaboration and discussion among Kantara members with an interest in eGovernment identity management applications and services
* Acting as a forum to discuss best practices by government organizations on national, regional and municipal levels
* Presenting ""a government view"" into other Kantara Initiative Work Groups so that these views may be taken into account in the development of Kantara Initiative * Policy Recommendations and Specifications for future contribution to an appropriate Standards Setting Organization
* Promoting the development, adoption and support for eGovernment deployment profiles of open specifications",,,,,,https://kantarainitiative.org/confluence/display/eGov/Home,
Financial Transaction Cards 4909,Specification,,,,,,,,,
Public Service Development Agency,Part of a Government,,"The Public Service Development Agency (PSDA) is a Legal Entity of Public Law of the Ministry of Justice of Georgia, created in July 2012 on the basis of the Civil Registry Agency (CRA). The PSDA gained new functions including the development of public services using innovative approaches. The agency has around 1400 employees, 72 territorial offices around Georgia, 25 Community Centers offering more than 200 public services to the rural population. PSDA services are also delivered through 13 Public Service Halls (larger one-stop-shop service points in major cities) and 70 Express Community Centers (mobile service platforms), planned to cover over 1000 villages by the end of 2015. Nowadays PSDA is increasingly focusing on innovative product and service development with an eye on service quality and expediency. This capacity of PSDA is at the disposal of all public institutions in Georgia, which either have no capacity or find it less feasible to maintain an in-house research and development team. In the context of e-Governance, PSDA can be regarded as one of the core agencies to which well developed egovernance solutions are essential as they underpin the core mission of the organization - to develop improved public services for people and organizations. As part of the broader e-Governance agenda, development of trust services plays an important role. PSDA, as the sole provider of these services in Georgia is thus tasked to introduce necessary measures to ensure continuous advancements of the technology and respective legal base.",,,,,,http://www.sda.gov.ge/?lang=en,
Intl Workshop on Secure IoT (SIOT 2016),Event,,"The International Workshop on Secure Internet of Things 2016 (SIoT 2016) will be held in conjunction with the European Symposium on Research in Computer Security (ESORICS 2016) in Heraklion, Crete - Greece, at the Institute of Computer Science of the Foundation for Research and Technology - Hellas, on 27th September 2016.

SIoT 2016 is a community where interested stakeholders, from academia and industry, can present their original work on providing a secure environment for connecting systems in an Internet-specific structure. The wide spread of mobile and embedded devices, able to connect to a network and share information, requires a careful look at the security risks taken by end users. In this context, the workshop will focus on contributions related to the security of mesh and machine-to-machine networks, secure software stacks running on ubiquitous network nodes, and algorithms used to provide secure end-to-end communication between nodes.

The focus of this workshop is to create a secure environment for connecting systems in an Internet-specific structure. These may include, but are not limited to, the following topics:
* Threat Models in Internet of Things
* Attack Strategies for Internet of Things
* Security Architectures
* Secure Mobile Applications
* Secure Mobility Management
* Intrusion and Malware Detection
* Security in Wireless Sensor Networks
* Reliable Interactions with Network Services
* System and Data Integrity
* Scalability and Robustness for Internet of Things
* **Identity Management in Internet of Things**
* **Trustworthiness in Internet of Things**
* Secure Operating Systems
* **Privacy in Internet of Things**
* Adaptive Security in Internet of Things",,,,,,http://siot-workshop.org,
MODRNA Registration,Specification,,"The OpenID Connect Mobile Registration Profile specification defines how a RP dynamically registers with a mobile network operator (MNO) to access identity services provided by the MNO. The RP shall be able to access identity services from multiple MNOs withour requiring the RP to register with all individual MNOs. To achieve this, the OpenID Connect Dynamic Client Registration 1.0 [OpenID.Registration] will be extended with Software Statement as specified in OAuth2.0 [RFC 7591].",,,,,,http://openid.net/wordpress-content/uploads/2014/04/draft-mobile-registration-01.html,
SDNRG Software-Defined Networking Research Group,Research Project,,,,,,,2013-01-14,https://irtf.org/sdnrg,
ESIF: Emergency Services Interconnection Forum,Working Group,,"ESIF develops Next Generation 911 (NG911) and location accuracy requirements and solutions and is where the industry comes together in a voluntary open forum to identify and resolve technical and operational issues to facilitate interconnection of emergency services networks with other networks (e.g., wireline, cable, satellite, Internet, etc.). ESIF members comprise industry, government, standards, and public safety organizations.",,,,,,http://www.atis.org/01_committ_forums/ESIF/about.asp,
The Verifiable Claims Task Force,Specification,,,,,,,,https://www.w3.org/Payments/IG/wiki/Main_Page/ProposalsQ42015/VerifiableClaimsTaskForce,
Hannes Tschofenig,Person,,,,,,,,http://www.tschofenig.priv.at,
Information Commissioner’s Office,Part of a Government,,"The UK’s independent authority set up to uphold information rights in the public interest, promoting openness by public bodies and data privacy for individuals.

The ICO is an independent public body and the Department for Media, Culture and Sport is the ICO’s sponsoring department within Government.",,,,,,https://ico.org.uk,
”Rome Memorandum” - Report and Guidance on Privacy in Social Network Services,Publication,,"“A social network service focuses on the building and verifying of online social networks for commu- nities of people who share interests and activities, or who are interested in exploring the interests and activities of others, and which necessitates the use of software. Most services are primarily web based and provide a collection of various ways for users to interact [...]”1. Specifically, many popular sites offer means to interact with other subscribers (based on self-generated personal profiles2).
The advent and ever increasing popularity of social network services heralds a sea change in the way personal data of large populations of citizens all over the world become more or less publicly available. These services have become incredibly popular in the past years especially with young people. But increasingly such services are also being offered e.g. for professionals and the elderly.
The challenges posed by social network services are on the one hand yet another flavour of the fun- damental changes that the introduction of the Internet in the 90s of the past century has brought with it, by – inter alia – abolishing time and space in publishing information and real-time communication, and by blurring the line between service providers (authors) on the one hand and users/consumers (readers) on the other.
At the same time, social networking services seem to be pushing at the boundaries of what societies see as a person’s individual space: Personal data about individuals become publicly (and globally) available in an unprecedented way and quantity3, especially including huge quantities of digital pic- tures and videos.
With respect to privacy, one of the most fundamental challenges may be seen in the fact that most of the personal information published in social network services is being published at the initiative of the users and based on their consent. While ”traditional” privacy regulation is concerned with defin- ing rules to protect citizens against unfair or unproportional processing of personal data by the public administration (including law enforcement and secret services), and businesses, there are only very few rules governing the publication of personal data at the initiative of private individuals, partly be- cause this had not been a major issue in the “offline world”, and neither on the Internet before social network services came into being. Furthermore, the processing of personal data from public sources has traditionally been privileged in data protection and privacy legislation.",,,,,,https://datenschutz-berlin.de/attachments/897/675.36.5.pdf?1347350362,
ISO/IEC,Organization / Trade Association,,"The ISO (International Organization for Standardization) and the IEC (International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental in liaison with ISO and IEC, also take part in the work. Information technology standardization has some unique requirements as a consequence of the pace of innovation. Therefore, ISO and IEC have established a joint technical committee, ISO/IEC JTC1, Information Technology.",,,,,,http://www.iso.org/iso/home.html,
Tony Nadalin,Person,,,,,,,,,
"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs (DG GROWTH )",Part of Supra-National Government,,"he Single Market Strategy is the European Commission’s plan to unlock the full potential of the Single Market. The Single Market is at the heart of the European project, enabling people, services, goods and capital to move more freely, offering opportunities for European businesses and greater choice and lower prices for consumers. It enables citizens to travel, live, work or study wherever they wish.
But sometimes, these benefits do not materialise because Single Market rules are not known or implemented or they are undermined by other barriers. And in a rapidly changing environment, the Single Market needs to adapt to new ideas and business models.",,,,,,http://ec.europa.eu/growth/,
